candidate_id,previous_period,period,provider,provider_name,code_a,code_b,before_a,after_a,change_a,before_b,after_b,change_b,absolute_change_ratio,paired_net_change,target_code,target_change_share_national_pct,classification,disposition
RC1848,2024-01,2024-02,NT440,THORNBURY HOSPITAL,C_301,C_502,3,1,-2,80,83,3,0.6666666666666666,1,C_301,0.0005122294788065,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1849,2024-01,2024-02,NEY,PIONEER HEALTHCARE LIMITED,C_301,C_400,2,0,-2,333,336,3,0.6666666666666666,1,C_301,0.0005122294788065,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1850,2024-01,2024-02,NT440,THORNBURY HOSPITAL,C_301,C_400,3,1,-2,2,3,1,0.5,-1,C_301,0.0005122294788065,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1851,2024-02,2024-03,NT440,THORNBURY HOSPITAL,C_301,X06,1,3,2,5,3,-2,1.0,0,C_301,0.0005122242312794,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1852,2024-02,2024-03,NT401,ALEXANDRA HOSPITAL,C_301,X06,98,100,2,3,0,-3,0.6666666666666666,-1,C_301,0.0005122242312794,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1853,2024-02,2024-03,NT401,ALEXANDRA HOSPITAL,C_301,C_502,98,100,2,1,0,-1,0.5,1,C_301,0.0005122242312794,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1854,2024-02,2024-03,NTE02,ST HUGH'S HOSPITAL,C_150,C_301,0,1,1,237,235,-2,0.5,-1,C_301,0.0005122242312794,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1855,2024-07,2024-08,NT412,DROITWICH SPA HOSPITAL,C_301,C_502,82,80,-2,0,1,1,0.5,-1,C_301,0.0005118990944505,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1856,2024-07,2024-08,NVC15,PINEHILL HOSPITAL,C_301,C_400,50,48,-2,1,2,1,0.5,-1,C_301,0.0005118990944505,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1857,2024-05,2024-06,NT347,SPIRE FYLDE COAST HOSPITAL,C_150,C_301,93,94,1,3,1,-2,0.5,-1,C_301,0.0005115311918932,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1858,2025-09,2025-10,NT411,CLEMENTINE CHURCHILL HOSPITAL,C_100,C_410,315,317,2,1,0,-1,0.5,1,C_100,0.0005108648175063,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1859,2025-09,2025-10,NT408,CHAUCER HOSPITAL,C_100,C_301,96,98,2,1,0,-1,0.5,1,C_100,0.0005108648175063,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1860,2025-09,2025-10,NT410,CHILTERN HOSPITAL,C_100,C_140,38,40,2,1,0,-1,0.5,1,C_100,0.0005108648175063,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1861,2025-09,2025-10,NT317,SPIRE CAMBRIDGE LEA HOSPITAL,C_100,X05,41,39,-2,0,1,1,0.5,-1,C_100,0.0005108648175063,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1862,2024-03,2024-04,NT402,BATH CLINIC,C_301,X06,14,16,2,1,0,-1,0.5,1,C_301,0.0005099855164113,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1863,2026-03,2026-04,NVC22,WINFIELD HOSPITAL,C_120,C_160,9,6,-3,3,5,2,0.6666666666666666,-1,C_120,0.0005099629766878,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
