period,kind,part,code,total,open_count,closed_share,p50_band_lower,p75_band_lower,p92_band_lower,p95_band_lower,band_count
2025-02,monthly,Part_2,C_100,407640,31,0.999923952507114,14,27,43,48,105
2025-02,monthly,Part_2,C_110,841700,20,0.9999762385648092,15,28,43,48,105
2025-02,monthly,Part_2,C_120,634084,7,0.9999889604531892,17,32,46,50,105
2025-02,monthly,Part_2,C_130,582395,2,0.9999965659045836,11,22,38,43,105
2025-02,monthly,Part_2,C_301,394200,2,0.9999949264332826,13,24,38,43,105
2025-02,monthly,Part_2,C_320,411581,3,0.999992711033794,14,25,40,44,105
2025-02,monthly,Part_2,C_400,229775,0,1.0,16,29,44,48,105
2025-03,monthly,Part_2,C_999,7418598,147,0.9999801849352128,13,26,41,46,105
2025-03,monthly,Part_2,C_100,403986,16,0.999960394667142,14,27,42,47,105
2025-03,monthly,Part_2,C_110,843066,21,0.9999750909181488,15,27,42,47,105
2025-03,monthly,Part_2,C_120,637737,5,0.9999921597774633,17,31,46,50,105
2025-03,monthly,Part_2,C_130,586084,6,0.9999897625596332,9,21,37,42,105
2025-03,monthly,Part_2,C_301,395202,6,0.9999848178905976,12,24,38,43,105
2025-03,monthly,Part_2,C_320,415194,4,0.9999903659494116,13,25,40,44,105
2025-03,monthly,Part_2,C_400,226120,1,0.999995577569432,16,29,43,47,105
2025-04,monthly,Part_2,C_999,7389065,171,0.9999768576944444,13,26,42,46,105
2025-04,monthly,Part_2,C_100,397004,19,0.9999521415401356,13,27,43,47,105
2025-04,monthly,Part_2,C_110,844120,28,0.9999668293607544,14,28,43,47,105
2025-04,monthly,Part_2,C_120,638914,6,0.9999906090647568,17,31,46,50,105
2025-04,monthly,Part_2,C_130,588639,5,0.9999915058295492,10,21,37,42,105
2025-04,monthly,Part_2,C_301,387015,10,0.999974161208222,12,24,39,43,105
2025-04,monthly,Part_2,C_320,409020,1,0.9999975551317783,13,25,40,44,105
2025-04,monthly,Part_2,C_400,223699,0,1.0,15,29,44,48,105
2025-05,monthly,Part_2,C_999,7355950,160,0.99997824890055,13,26,42,47,105
2025-05,monthly,Part_2,C_100,394228,17,0.9999568777458728,13,27,43,47,105
2025-05,monthly,Part_2,C_110,843398,27,0.9999679866445024,14,28,43,48,105
2025-05,monthly,Part_2,C_120,636238,4,0.9999937130444896,17,31,47,51,105
2025-05,monthly,Part_2,C_130,589546,3,0.9999949113385554,10,20,36,42,105
2025-05,monthly,Part_2,C_301,376849,21,0.9999442747625706,12,24,39,43,105
2025-05,monthly,Part_2,C_320,400038,1,0.9999975002374776,13,25,40,45,105
2025-05,monthly,Part_2,C_400,222406,0,1.0,15,29,44,48,105
2025-06,monthly,Part_2,C_999,7367836,182,0.9999752980386644,13,25,41,46,105
2025-06,monthly,Part_2,C_100,394989,15,0.9999620242589036,13,26,42,47,105
2025-06,monthly,Part_2,C_110,848356,26,0.9999693524888136,14,27,43,47,105
2025-06,monthly,Part_2,C_120,635920,7,0.9999889923260789,17,31,46,50,105
2025-06,monthly,Part_2,C_130,592361,8,0.9999864947219684,10,20,36,41,105
2025-06,monthly,Part_2,C_301,373867,42,0.9998876605851814,12,23,39,43,105
2025-06,monthly,Part_2,C_320,395307,2,0.9999949406410714,13,24,40,44,105
2025-06,monthly,Part_2,C_400,222585,1,0.9999955073342768,15,28,43,48,105
2025-07,monthly,Part_2,C_999,7299023,244,0.9999665708684572,13,25,41,46,105
2025-07,monthly,Part_2,C_100,395120,18,0.9999544442194775,13,25,42,47,105
2025-07,monthly,Part_2,C_110,847453,43,0.999949259722958,14,26,43,47,105
2025-07,monthly,Part_2,C_120,628560,15,0.9999761359297442,17,30,45,50,105
2025-07,monthly,Part_2,C_130,585619,5,0.9999914620256516,10,20,36,41,105
2025-07,monthly,Part_2,C_301,374892,62,0.9998346190369491,11,23,39,43,105
2025-07,monthly,Part_2,C_320,388296,1,0.999997424645116,13,24,39,44,105
2025-07,monthly,Part_2,C_400,218289,0,1.0,15,27,43,47,105
2025-08,monthly,Part_2,C_999,7312356,168,0.9999770251885984,13,25,42,46,105
2025-08,monthly,Part_2,C_100,395490,20,0.9999494298212344,13,26,42,47,105
2025-08,monthly,Part_2,C_110,856471,32,0.9999626373806002,14,27,43,48,105
2025-08,monthly,Part_2,C_120,623636,13,0.9999791545067956,17,31,46,50,105
2025-08,monthly,Part_2,C_130,587377,2,0.9999965950318108,10,21,36,41,105
2025-08,monthly,Part_2,C_301,377569,1,0.9999973514774784,12,24,40,44,105
2025-08,monthly,Part_2,C_320,386717,0,1.0,13,25,40,44,105
2025-08,monthly,Part_2,C_400,219135,0,1.0,15,28,43,48,105
2025-09,monthly,Part_2,C_999,7296893,150,0.9999794433055276,13,25,41,46,105
2025-09,monthly,Part_2,C_100,393730,9,0.9999771416960862,13,25,42,47,105
2025-09,monthly,Part_2,C_110,860865,34,0.999960504841061,14,26,43,48,105
2025-09,monthly,Part_2,C_120,617531,13,0.9999789484252612,17,30,45,50,105
2025-09,monthly,Part_2,C_130,589819,3,0.999994913693862,10,20,34,40,105
2025-09,monthly,Part_2,C_301,379599,0,1.0,12,24,38,44,105
2025-09,monthly,Part_2,C_320,388454,0,1.0,13,25,40,44,105
2025-09,monthly,Part_2,C_400,219221,1,0.9999954383932196,15,27,43,47,105
2025-10,monthly,Part_2,C_999,7304189,172,0.9999764518689208,13,25,40,46,105
2025-10,monthly,Part_2,C_100,391493,9,0.9999770110832122,13,25,41,46,105
2025-10,monthly,Part_2,C_110,858898,30,0.9999650715218804,14,26,42,48,105
2025-10,monthly,Part_2,C_120,613974,25,0.9999592816633928,17,31,45,49,105
2025-10,monthly,Part_2,C_130,598593,5,0.9999916470790672,10,20,34,39,105
2025-10,monthly,Part_2,C_301,382448,0,1.0,12,23,38,42,105
2025-10,monthly,Part_2,C_320,387527,5,0.9999870976731944,13,24,38,43,105
2025-10,monthly,Part_2,C_400,221595,2,0.9999909745255984,15,27,41,46,105
2025-11,monthly,Part_2,C_999,7159010,177,0.9999752759110548,12,25,40,44,105
2025-11,monthly,Part_2,C_100,381272,15,0.9999606580079312,13,25,41,45,105
2025-11,monthly,Part_2,C_110,845411,40,0.999952685735104,14,26,42,46,105
2025-11,monthly,Part_2,C_120,588429,24,0.9999592134310172,17,30,43,47,105
