period,part,kind,code,name,total,open_count,closed_share,all_below_p99_identifiable,published_percentile_in_open_band
2024-12,Part_2,monthly,C_301,Gastroenterology,396642,13,0.999967224853,True,False
2024-12,Part_2,monthly,C_320,Cardiology,412953,2,0.999995156834,True,False
2024-12,Part_2,monthly,C_400,Neurology,233555,0,1,True,False
2024-12,Part_2,monthly,C_999,"England, all specialties",7463085,155,0.999979231109,True,False
2025-01,Part_2,monthly,C_100,General surgery,406921,7,0.999982797644,True,False
2025-01,Part_2,monthly,C_110,Trauma and orthopaedics,847963,29,0.999965800395,True,False
2025-01,Part_2,monthly,C_120,ENT,637631,7,0.999989021864,True,False
2025-01,Part_2,monthly,C_130,Ophthalmology,579892,2,0.999996551082,True,False
2025-01,Part_2,monthly,C_301,Gastroenterology,395862,3,0.999992421601,True,False
2025-01,Part_2,monthly,C_320,Cardiology,415196,2,0.999995182998,True,False
2025-01,Part_2,monthly,C_400,Neurology,232985,0,1,True,False
2025-01,Part_2,monthly,C_999,"England, all specialties",7427669,139,0.999981286188,True,False
2025-02,Part_2,monthly,C_100,General surgery,407640,31,0.999923952507,True,False
2025-02,Part_2,monthly,C_110,Trauma and orthopaedics,841700,20,0.999976238565,True,False
2025-02,Part_2,monthly,C_120,ENT,634084,7,0.999988960453,True,False
2025-02,Part_2,monthly,C_130,Ophthalmology,582395,2,0.999996565905,True,False
2025-02,Part_2,monthly,C_301,Gastroenterology,394200,2,0.999994926433,True,False
2025-02,Part_2,monthly,C_320,Cardiology,411581,3,0.999992711034,True,False
2025-02,Part_2,monthly,C_400,Neurology,229775,0,1,True,False
2025-02,Part_2,monthly,C_999,"England, all specialties",7401153,161,0.999978246633,True,False
2025-03,Part_2,monthly,C_100,General surgery,403986,16,0.999960394667,True,False
2025-03,Part_2,monthly,C_110,Trauma and orthopaedics,843066,21,0.999975090918,True,False
2025-03,Part_2,monthly,C_120,ENT,637737,5,0.999992159777,True,False
2025-03,Part_2,monthly,C_130,Ophthalmology,586084,6,0.99998976256,True,False
2025-03,Part_2,monthly,C_301,Gastroenterology,395202,6,0.999984817891,True,False
2025-03,Part_2,monthly,C_320,Cardiology,415194,4,0.999990365949,True,False
2025-03,Part_2,monthly,C_400,Neurology,226120,1,0.999995577569,True,False
2025-03,Part_2,monthly,C_999,"England, all specialties",7418598,147,0.999980184935,True,False
2025-04,Part_2,monthly,C_100,General surgery,397004,19,0.99995214154,True,False
2025-04,Part_2,monthly,C_110,Trauma and orthopaedics,844120,28,0.999966829361,True,False
2025-04,Part_2,monthly,C_120,ENT,638914,6,0.999990609065,True,False
2025-04,Part_2,monthly,C_130,Ophthalmology,588639,5,0.99999150583,True,False
2025-04,Part_2,monthly,C_301,Gastroenterology,387015,10,0.999974161208,True,False
2025-04,Part_2,monthly,C_320,Cardiology,409020,1,0.999997555132,True,False
2025-04,Part_2,monthly,C_400,Neurology,223699,0,1,True,False
2025-04,Part_2,monthly,C_999,"England, all specialties",7389065,171,0.999976857694,True,False
2025-05,Part_2,monthly,C_100,General surgery,394228,17,0.999956877746,True,False
2025-05,Part_2,monthly,C_110,Trauma and orthopaedics,843398,27,0.999967986645,True,False
2025-05,Part_2,monthly,C_120,ENT,636238,4,0.999993713044,True,False
2025-05,Part_2,monthly,C_130,Ophthalmology,589546,3,0.999994911339,True,False
2025-05,Part_2,monthly,C_301,Gastroenterology,376849,21,0.999944274763,True,False
2025-05,Part_2,monthly,C_320,Cardiology,400038,1,0.999997500237,True,False
2025-05,Part_2,monthly,C_400,Neurology,222406,0,1,True,False
2025-05,Part_2,monthly,C_999,"England, all specialties",7355950,160,0.999978248901,True,False
2025-06,Part_2,monthly,C_100,General surgery,394989,15,0.999962024259,True,False
2025-06,Part_2,monthly,C_110,Trauma and orthopaedics,848356,26,0.999969352489,True,False
2025-06,Part_2,monthly,C_120,ENT,635920,7,0.999988992326,True,False
2025-06,Part_2,monthly,C_130,Ophthalmology,592361,8,0.999986494722,True,False
2025-06,Part_2,monthly,C_301,Gastroenterology,373867,42,0.999887660585,True,False
2025-06,Part_2,monthly,C_320,Cardiology,395307,2,0.999994940641,True,False
2025-06,Part_2,monthly,C_400,Neurology,222585,1,0.999995507334,True,False
2025-06,Part_2,monthly,C_999,"England, all specialties",7367836,182,0.999975298039,True,False
2025-07,Part_2,monthly,C_100,General surgery,395120,18,0.999954444219,True,False
2025-07,Part_2,monthly,C_110,Trauma and orthopaedics,847453,43,0.999949259723,True,False
2025-07,Part_2,monthly,C_120,ENT,628560,15,0.99997613593,True,False
2025-07,Part_2,monthly,C_130,Ophthalmology,585619,5,0.999991462026,True,False
2025-07,Part_2,monthly,C_301,Gastroenterology,374892,62,0.999834619037,True,False
2025-07,Part_2,monthly,C_320,Cardiology,388296,1,0.999997424645,True,False
2025-07,Part_2,monthly,C_400,Neurology,218289,0,1,True,False
2025-07,Part_2,monthly,C_999,"England, all specialties",7299023,244,0.999966570868,True,False
2025-08,Part_2,monthly,C_100,General surgery,395490,20,0.999949429821,True,False
2025-08,Part_2,monthly,C_110,Trauma and orthopaedics,856471,32,0.999962637381,True,False
2025-08,Part_2,monthly,C_120,ENT,623636,13,0.999979154507,True,False
2025-08,Part_2,monthly,C_130,Ophthalmology,587377,2,0.999996595032,True,False
2025-08,Part_2,monthly,C_301,Gastroenterology,377569,1,0.999997351477,True,False
2025-08,Part_2,monthly,C_320,Cardiology,386717,0,1,True,False
2025-08,Part_2,monthly,C_400,Neurology,219135,0,1,True,False
2025-08,Part_2,monthly,C_999,"England, all specialties",7312356,168,0.999977025189,True,False
2025-09,Part_2,monthly,C_100,General surgery,393730,9,0.999977141696,True,False
2025-09,Part_2,monthly,C_110,Trauma and orthopaedics,860865,34,0.999960504841,True,False
2025-09,Part_2,monthly,C_120,ENT,617531,13,0.999978948425,True,False
2025-09,Part_2,monthly,C_130,Ophthalmology,589819,3,0.999994913694,True,False
2025-09,Part_2,monthly,C_301,Gastroenterology,379599,0,1,True,False
2025-09,Part_2,monthly,C_320,Cardiology,388454,0,1,True,False
2025-09,Part_2,monthly,C_400,Neurology,219221,1,0.999995438393,True,False
