period,sheet,row,code,p,n,band,official,linear_pN,difference
2024-01,Sub-ICB,285,C_150,0.92,1573,47,47.632,47.63200000000002,2.1316282072803006e-14
2024-01,Sub-ICB,286,C_160,0.5,3250,21,21.4,21.4,0.0
2024-01,Sub-ICB,286,C_160,0.92,3250,51,51.2222222222222,51.22222222222222,2.1316282072803006e-14
2024-01,Sub-ICB,287,C_170,0.5,104,19,20,20.0,0.0
2024-01,Sub-ICB,287,C_170,0.92,104,32,32.56,32.56,0.0
2024-01,Sub-ICB,288,C_300,0.5,2222,17,17.0228758169935,17.022875816993466,-3.552713678800501e-14
2024-01,Sub-ICB,288,C_300,0.92,2222,38,38.4266666666667,38.42666666666667,-2.842170943040401e-14
2024-01,Sub-ICB,289,C_301,0.5,11812,13,13.2627986348123,13.262798634812286,-1.4210854715202004e-14
2024-01,Sub-ICB,289,C_301,0.92,11812,42,42.1473170731708,42.147317073170754,-4.263256414560601e-14
2024-01,Sub-ICB,290,C_320,0.5,12758,15,15.024861878453,15.024861878453038,3.730349362740526e-14
2024-01,Sub-ICB,290,C_320,0.92,12758,39,39.0361290322581,39.036129032258074,-2.842170943040401e-14
2024-01,Sub-ICB,291,C_330,0.5,14785,13,13.0975308641975,13.09753086419753,3.019806626980426e-14
2024-01,Sub-ICB,291,C_330,0.92,14785,35,35.4796460176991,35.479646017699125,2.1316282072803006e-14
2024-01,Sub-ICB,292,C_340,0.5,8259,14,14.697619047619,14.697619047619048,4.796163466380676e-14
2024-01,Sub-ICB,292,C_340,0.92,8259,41,41.5972727272727,41.597272727272745,4.263256414560601e-14
2024-01,Sub-ICB,293,C_400,0.5,9297,17,17.4675675675676,17.467567567567567,-3.197442310920451e-14
2024-01,Sub-ICB,293,C_400,0.92,9297,43,43.9430303030303,43.9430303030303,0.0
2024-01,Sub-ICB,294,C_410,0.5,2920,10,10.2604166666667,10.260416666666666,-3.375077994860476e-14
2024-01,Sub-ICB,294,C_410,0.92,2920,30,30.5944444444444,30.59444444444445,4.973799150320701e-14
2024-01,Sub-ICB,295,C_430,0.5,1536,12,12.75,12.75,0.0
2024-01,Sub-ICB,295,C_430,0.92,1536,30,30.3011764705882,30.301176470588242,4.263256414560601e-14
