period,kind,part,code,p50,p50_lower_shift,p50_midpoint_shift,p75_lower_shift,p75_midpoint_shift,p92,p92_lower_shift,p92_midpoint_shift,p95_lower_shift,p95_midpoint_shift
2025-02,monthly,Part_2,C_130,11.284269536311903,-0.2842695363119052,0.2157304636880948,-0.023135765486252,0.4768642345137479,38.0458394160584,-0.0458394160583992,0.4541605839416007,-0.0441087154570283,0.4558912845429717
2025-02,monthly,Part_2,C_301,13.18221941992434,-0.1822194199243387,0.3177805800756612,-0.3476485709965224,0.1523514290034775,38.88021944529107,-0.8802194452910683,-0.3802194452910683,-0.5464654487688634,-0.0464654487688633
2025-02,monthly,Part_2,C_320,14.00744384468048,-0.0074438446804805,0.4925561553195194,-0.5736596914617387,-0.0736596914617386,40.498370986920335,-0.4983709869203352,0.0016290130796647,-0.9259355095541224,-0.4259355095541224
2025-02,monthly,Part_2,C_400,16.467739068610026,-0.467739068610026,0.0322609313899739,-0.7610652109766889,-0.2610652109766889,44.13791398912506,-0.1379139891250602,0.3620860108749397,-0.4887339055794015,0.0112660944205984
2025-03,monthly,Part_2,C_999,13.820440441539898,-0.8204404415398976,-0.3204404415398976,-0.2830379859840199,0.21696201401598,41.890477884267035,-0.8904778842670353,-0.3904778842670353,-0.4188211149789467,0.0811788850210533
2025-03,monthly,Part_2,C_100,14.097513357994243,-0.0975133579942451,0.4024866420057549,-0.117395104895106,0.3826048951048939,42.796450597860286,-0.7964505978602858,-0.2964505978602858,-0.4733532934131546,0.0266467065868454
2025-03,monthly,Part_2,C_110,15.26111346815632,-0.261113468156319,0.238886531843681,-0.4672290468045403,0.0327709531954596,42.77578839690196,-0.7757883969019588,-0.2757883969019588,-0.4329070929070866,0.0670929070929133
2025-03,monthly,Part_2,C_120,17.577179113792386,-0.5771791137923863,-0.0771791137923862,-0.5950511322132961,-0.095051132213296,46.2527509142625,-0.2527509142624993,0.2472490857375007,-0.0951908200103233,0.4048091799896767
2025-03,monthly,Part_2,C_130,9.90406079316077,-0.9040607931607704,-0.4040607931607702,-0.6743241799337554,-0.1743241799337553,37.550567047943545,-0.5505670479435452,-0.0505670479435451,-0.5430869161769039,-0.0430869161769038
2025-03,monthly,Part_2,C_301,12.362864385297843,-0.3628643852978452,0.1371356147021547,-0.5066229985443975,-0.0066229985443975,38.86851944792974,-0.8685194479297422,-0.3685194479297422,-0.3235530951182497,0.1764469048817503
2025-03,monthly,Part_2,C_320,13.651520327980869,-0.651520327980867,-0.151520327980867,-0.2982804232804241,0.2017195767195758,40.156622167028885,-0.1566221670288854,0.3433778329711145,-0.6794736842105209,-0.1794736842105209
2025-03,monthly,Part_2,C_400,16.3364519611371,-0.3364519611371008,0.1635480388628991,-0.0132508833922244,0.4867491166077755,43.756881275841714,-0.7568812758417138,-0.2568812758417138,-0.7925636007827777,-0.2925636007827776
2025-04,monthly,Part_2,C_999,13.258164624994428,-0.2581646249944267,0.2418353750055732,-0.5910745938636417,-0.0910745938636417,42.2618071860548,-0.2618071860547957,0.2381928139452043,-0.7143179119574299,-0.2143179119574298
