period,kind,part,code,measure,independent,primary,difference,status
2024-06,monthly,Part_2,C_120,p75,32.75837593821386,32.7583759382,1.3862688774679555e-11,VERIFIED
2024-06,monthly,Part_2,C_120,p92,50.144181217555456,50.1441812176,-4.454392410480068e-11,VERIFIED
2024-06,monthly,Part_2,C_120,p95,55.25259648127129,55.2525964813,-2.871303195206565e-11,VERIFIED
2024-06,monthly,Part_2,C_130,p50,11.41541575307809,11.4154157531,-2.190958525716269e-11,VERIFIED
2024-06,monthly,Part_2,C_130,p75,22.7878032409627,22.787803241,-3.729994091372646e-11,VERIFIED
2024-06,monthly,Part_2,C_130,p92,39.78209689081707,39.7820968908,1.7074341940315207e-11,VERIFIED
2024-06,monthly,Part_2,C_130,p95,45.32013840830448,45.3201384083,4.483524662646232e-12,VERIFIED
2024-06,monthly,Part_2,C_301,p50,13.616275129884798,13.6162751299,-1.5202061831587343e-11,VERIFIED
2024-06,monthly,Part_2,C_301,p75,26.43617200674536,26.4361720067,4.5357495537245995e-11,VERIFIED
2024-06,monthly,Part_2,C_301,p92,42.4475795706884,42.4475795707,-1.1603162874962436e-11,VERIFIED
2024-06,monthly,Part_2,C_301,p95,47.569225543478254,47.5692255435,-2.1749713141616667e-11,VERIFIED
2024-06,monthly,Part_2,C_320,p50,14.057435363525942,14.0574353635,2.5941915282601258e-11,VERIFIED
2024-06,monthly,Part_2,C_320,p75,25.87504974134501,25.8750497413,4.5009329596723546e-11,VERIFIED
2024-06,monthly,Part_2,C_320,p92,41.281671018276775,41.2816710183,-2.3227642031997675e-11,VERIFIED
2024-06,monthly,Part_2,C_320,p95,46.244622222222205,46.2446222222,2.220446049250313e-11,VERIFIED
2024-06,monthly,Part_2,C_400,p50,16.582995237255247,16.5829952373,-4.475353421184991e-11,VERIFIED
2024-06,monthly,Part_2,C_400,p75,30.60514018691589,30.6051401869,1.588773557159584e-11,VERIFIED
2024-06,monthly,Part_2,C_400,p92,45.377021276595755,45.3770212766,-4.241940132487798e-12,VERIFIED
2024-06,monthly,Part_2,C_400,p95,49.52425644415068,49.5242564442,-4.9318771289108554e-11,VERIFIED
2024-06,monthly,Part_2,C_999,p50,14.342254037421007,14.3422540374,2.1007195982747362e-11,VERIFIED
2024-06,monthly,Part_2,C_999,p75,27.924810044387588,27.9248100444,-1.241318159372895e-11,VERIFIED
2024-06,monthly,Part_2,C_999,p92,44.69614424746598,44.6961442475,-3.40207861881936e-11,VERIFIED
2024-06,monthly,Part_2,C_999,p95,49.809782412073275,49.8097824121,-2.6723512291937368e-11,VERIFIED
2024-07,monthly,Part_2,C_100,p50,14.508549027016814,14.508549027,1.681321748492337e-11,VERIFIED
2024-07,monthly,Part_2,C_100,p75,28.37300066644452,28.3730006664,4.451905510904908e-11,VERIFIED
2024-07,monthly,Part_2,C_100,p92,46.35869884575027,46.3586988458,-4.973088607584941e-11,VERIFIED
2024-07,monthly,Part_2,C_100,p95,51.64037590579708,51.6403759058,-2.9203306439740118e-12,VERIFIED
2024-07,monthly,Part_2,C_110,p50,14.607564041643268,14.6075640416,4.32684998941113e-11,VERIFIED
2024-07,monthly,Part_2,C_110,p75,28.356761493315943,28.3567614933,1.5944578990456648e-11,VERIFIED
2024-07,monthly,Part_2,C_110,p92,46.31072625698325,46.310726257,-1.674749228186556e-11,VERIFIED
2024-07,monthly,Part_2,C_110,p95,51.787522583559145,51.7875225836,-4.085620730620576e-11,VERIFIED
2024-07,monthly,Part_2,C_120,p50,18.272575022216145,18.2725750222,1.6143530956469476e-11,VERIFIED
2024-07,monthly,Part_2,C_120,p75,32.51071153210706,32.5107115321,7.062794793455396e-12,VERIFIED
2024-07,monthly,Part_2,C_120,p92,49.44659539082917,49.4465953908,2.916777930295211e-11,VERIFIED
2024-07,monthly,Part_2,C_120,p95,54.6572161741835,54.6572161742,-1.6498802324349526e-11,VERIFIED
2024-07,monthly,Part_2,C_130,p50,11.584555106167846,11.5845551062,-3.2153835149983934e-11,VERIFIED
2024-07,monthly,Part_2,C_130,p75,22.897648125178897,22.8976481252,-2.1103119252074976e-11,VERIFIED
2024-07,monthly,Part_2,C_130,p92,39.4620956155561,39.4620956156,-4.389733021525899e-11,VERIFIED
2024-07,monthly,Part_2,C_130,p95,44.54665688193083,44.5466568819,3.083044930463075e-11,VERIFIED
2024-07,monthly,Part_2,C_301,p50,13.317516316810725,13.3175163168,1.0723866239459312e-11,VERIFIED
2024-07,monthly,Part_2,C_301,p75,25.515731985653733,25.5157319857,-4.6266990239018924e-11,VERIFIED
2024-07,monthly,Part_2,C_301,p92,41.535986577181205,41.5359865772,-1.879385536085465e-11,VERIFIED
2024-07,monthly,Part_2,C_301,p95,46.341559086395215,46.3415590864,-4.781952611665474e-12,VERIFIED
2024-07,monthly,Part_2,C_320,p50,13.812559391827683,13.8125593918,2.7682744985213503e-11,VERIFIED
2024-07,monthly,Part_2,C_320,p75,25.647116875793035,25.6471168758,-6.963318810448982e-12,VERIFIED
2024-07,monthly,Part_2,C_320,p92,41.116428340342935,41.1164283403,4.2938097521982854e-11,VERIFIED
2024-07,monthly,Part_2,C_320,p95,45.68073788073787,45.6807378807,3.787192781601334e-11,VERIFIED
2024-07,monthly,Part_2,C_400,p50,16.050182149362477,16.0501821494,-3.752376187549089e-11,VERIFIED
2024-07,monthly,Part_2,C_400,p75,29.36768130405855,29.3676813041,-4.1449510490565444e-11,VERIFIED
2024-07,monthly,Part_2,C_400,p92,45.01439393939394,45.0143939394,-6.0609295360336546e-12,VERIFIED
2024-07,monthly,Part_2,C_400,p95,49.41605473965287,49.4160547397,-4.7130299662967445e-11,VERIFIED
2024-07,monthly,Part_2,C_999,p50,13.983266435858884,13.9832664359,-4.11155554047582e-11,VERIFIED
