period,part,kind,code,name,release,total,within18_count,middle_count,over52_count,open_count,closed_share,within18_share,middle_share,over52_share,p50,p50_band_lower,p75,p75_band_lower,p92,p92_band_lower,p95,p95_band_lower,gap_weeks
2025-05,Part_2,monthly,C_301,Gastroenterology,revised-or-established,376849,240350,129956,6543,21,0.999944274763,0.637788610292,0.344848997874,0.0173623918333,12.7138634222,12,24.7680257161,24,39.3395169082,39,43.9901664477,43,21.3395169082
2025-05,Part_2,monthly,C_320,Cardiology,revised-or-established,400038,245882,146501,7655,1,0.999997500237,0.614646608572,0.366217709318,0.0191356821102,13.6904061212,13,25.7992573507,25,40.5933421927,40,45.0463951311,45,22.5933421927
2025-05,Part_2,monthly,C_400,Neurology,revised-or-established,222406,123241,92414,6751,0,1,0.554126237602,0.415519365485,0.0303543969138,15.7862165963,15,29.3374406176,29,44.3782623132,44,48.4536433033,48,26.3782623132
2025-05,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7355950,4482076,2677035,196839,160,0.999978248901,0.609313005118,0.363927840728,0.0267591541541,13.5697948901,13,26.7854906574,26,42.5267293498,42,47.1793781203,47,24.5267293498
2025-06,Part_2,monthly,C_100,General surgery,revised-or-established,394989,241189,142790,11010,15,0.999962024259,0.610622067956,0.361503738079,0.0278741939649,13.4600250144,13,26.4003535541,26,42.5445710364,42,47.3918234767,47,24.5445710364
2025-06,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,848356,499760,323064,25532,26,0.999969352489,0.589092315019,0.380811828996,0.030095855985,14.3790211038,14,27.8695617014,27,43.0459579306,43,47.9289033836,47,25.0459579306
2025-06,Part_2,monthly,C_120,ENT,revised-or-established,635920,329485,278606,27829,7,0.999988992326,0.518123348849,0.438114857215,0.0437617939363,17.2284260561,17,31.4478445157,31,46.6947279629,46,50.9689621726,50,28.6947279629
2025-06,Part_2,monthly,C_130,Ophthalmology,revised-or-established,592361,418677,164878,8806,8,0.999986494722,0.706793661298,0.278340403909,0.0148659347931,10.3338827484,10,20.3042311999,20,36.4551528491,36,41.4500872296,41,18.4551528491
2025-06,Part_2,monthly,C_301,Gastroenterology,revised-or-established,373867,241376,126316,6175,42,0.999887660585,0.645619966459,0.337863464815,0.0165165687263,12.4977249313,12,23.6644017369,23,39.0968500688,39,43.7278856826,43,21.0968500688
2025-06,Part_2,monthly,C_320,Cardiology,revised-or-established,395307,244312,143638,7357,2,0.999994940641,0.618031049286,0.363358098895,0.018610851819,13.6879380462,13,24.7368816185,24,40.0269344609,40,44.7567078755,44,22.0269344609
