period,part,kind,code,name,release,percentile,linear,lower_bound,midpoint,upper_bound,lower_minus_linear,midpoint_minus_linear
2024-05,Part_2,monthly,C_100,General surgery,revised-or-established,50,14.9512230216,14,14.5,15,-0.951223021583,-0.451223021583
2024-05,Part_2,monthly,C_100,General surgery,revised-or-established,75,29.5154431896,29,29.5,30,-0.515443189596,-0.0154431895962
2024-05,Part_2,monthly,C_100,General surgery,revised-or-established,92,46.4941176471,46,46.5,47,-0.494117647059,0.00588235294118
2024-05,Part_2,monthly,C_100,General surgery,revised-or-established,95,51.4122164461,51,51.5,52,-0.412216446125,0.0877835538752
2024-05,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,50,15.4352060117,15,15.5,16,-0.435206011655,0.0647939883447
2024-05,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,75,29.9783685876,29,29.5,30,-0.978368587608,-0.478368587608
2024-05,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,92,47.1905751133,47,47.5,48,-0.19057511328,0.30942488672
2024-05,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,95,52.1701519069,52,52.5,53,-0.170151906917,0.329848093083
2024-05,Part_2,monthly,C_120,ENT,revised-or-established,50,17.6282674373,17,17.5,18,-0.628267437278,-0.128267437278
2024-05,Part_2,monthly,C_120,ENT,revised-or-established,75,32.970428354,32,32.5,33,-0.97042835399,-0.47042835399
2024-05,Part_2,monthly,C_120,ENT,revised-or-established,92,50.4467507189,50,50.5,51,-0.446750718868,0.0532492811325
2024-05,Part_2,monthly,C_120,ENT,revised-or-established,95,55.4228832952,55,55.5,56,-0.422883295195,0.0771167048055
2024-05,Part_2,monthly,C_130,Ophthalmology,revised-or-established,50,11.6539506046,11,11.5,12,-0.653950604632,-0.153950604632
2024-05,Part_2,monthly,C_130,Ophthalmology,revised-or-established,75,23.8826501484,23,23.5,24,-0.882650148436,-0.382650148436
2024-05,Part_2,monthly,C_130,Ophthalmology,revised-or-established,92,40.3164351245,40,40.5,41,-0.316435124509,0.183564875491
2024-05,Part_2,monthly,C_130,Ophthalmology,revised-or-established,95,45.7364561767,45,45.5,46,-0.736456176674,-0.236456176674
2024-05,Part_2,monthly,C_301,Gastroenterology,revised-or-established,50,13.399437345,13,13.5,14,-0.399437345031,0.100562654969
2024-05,Part_2,monthly,C_301,Gastroenterology,revised-or-established,75,26.8642894462,26,26.5,27,-0.864289446186,-0.364289446186
2024-05,Part_2,monthly,C_301,Gastroenterology,revised-or-established,92,42.9771286425,42,42.5,43,-0.977128642502,-0.477128642502
2024-05,Part_2,monthly,C_301,Gastroenterology,revised-or-established,95,47.9074083251,47,47.5,48,-0.907408325074,-0.407408325074
2024-05,Part_2,monthly,C_320,Cardiology,revised-or-established,50,13.8587022702,13,13.5,14,-0.858702270157,-0.358702270157
2024-05,Part_2,monthly,C_320,Cardiology,revised-or-established,75,26.456591514,26,26.5,27,-0.456591514013,0.0434084859872
2024-05,Part_2,monthly,C_320,Cardiology,revised-or-established,92,41.8229140893,41,41.5,42,-0.822914089347,-0.322914089347
2024-05,Part_2,monthly,C_320,Cardiology,revised-or-established,95,46.5967172845,46,46.5,47,-0.596717284502,-0.096717284502
2024-05,Part_2,monthly,C_400,Neurology,revised-or-established,50,16.4444066065,16,16.5,17,-0.444406606504,0.0555933934957
2024-05,Part_2,monthly,C_400,Neurology,revised-or-established,75,30.5540123457,30,30.5,31,-0.554012345679,-0.054012345679
2024-05,Part_2,monthly,C_400,Neurology,revised-or-established,92,44.9797278912,44,44.5,45,-0.979727891156,-0.479727891156
2024-05,Part_2,monthly,C_400,Neurology,revised-or-established,95,48.9683266932,48,48.5,49,-0.968326693227,-0.468326693227
2024-06,Part_2,monthly,C_999,"England, all specialties",revised-or-established,50,14.3422540374,14,14.5,15,-0.342254037421,0.157745962579
2024-06,Part_2,monthly,C_999,"England, all specialties",revised-or-established,75,27.9248100444,27,27.5,28,-0.924810044388,-0.424810044388
2024-06,Part_2,monthly,C_999,"England, all specialties",revised-or-established,92,44.6961442475,44,44.5,45,-0.696144247466,-0.196144247466
2024-06,Part_2,monthly,C_999,"England, all specialties",revised-or-established,95,49.8097824121,49,49.5,50,-0.809782412073,-0.309782412073
2024-06,Part_2,monthly,C_100,General surgery,revised-or-established,50,14.9967133881,14,14.5,15,-0.99671338811,-0.49671338811
2024-06,Part_2,monthly,C_100,General surgery,revised-or-established,75,29.5133614627,29,29.5,30,-0.513361462729,-0.0133614627286
2024-06,Part_2,monthly,C_100,General surgery,revised-or-established,92,46.6215764222,46,46.5,47,-0.621576422207,-0.121576422207
2024-06,Part_2,monthly,C_100,General surgery,revised-or-established,95,51.6438282648,51,51.5,52,-0.643828264758,-0.143828264758
