period,sheet,row,percentile,official,computed,lower,difference
2024-01,Sub-ICB,308,0.92,44.5677419354839,44.56774193548388,44,-2.1316282072803006e-14
2024-01,Sub-ICB,309,0.5,15.2659574468085,15.26595744680851,15,1.0658141036401503e-14
2024-01,Sub-ICB,309,0.92,46.324,46.324,46,0.0
2024-01,Sub-ICB,310,0.5,17.4342105263158,17.43421052631579,17,-7.105427357601002e-15
2024-01,Sub-ICB,310,0.92,48.42,48.419999999999995,48,-7.105427357601002e-15
2024-01,Sub-ICB,311,0.5,5.0,5.0,4,0.0
2024-01,Sub-ICB,311,0.92,35.32,35.32,35,0.0
2024-01,Sub-ICB,312,0.5,9.26388888888889,9.26388888888889,9,0.0
2024-01,Sub-ICB,312,0.92,28.99,28.99000000000001,28,1.0658141036401503e-14
2024-01,Sub-ICB,313,0.5,11.1287878787879,11.128787878787879,11,-2.1316282072803006e-14
2024-01,Sub-ICB,313,0.92,33.4048780487805,33.404878048780496,33,-7.105427357601002e-15
2024-01,Sub-ICB,314,0.5,11.5380434782609,11.53804347826087,11,-3.019806626980426e-14
2024-01,Sub-ICB,314,0.92,32.9448780487805,32.944878048780495,32,-7.105427357601002e-15
2024-01,Sub-ICB,315,0.5,15.6168224299065,15.616822429906541,15,4.085620730620576e-14
2024-01,Sub-ICB,315,0.92,43.4182716049383,43.41827160493828,43,-1.4210854715202004e-14
2024-01,Sub-ICB,316,0.5,11.0192307692308,11.01923076923077,11,-3.019806626980426e-14
2024-01,Sub-ICB,316,0.92,36.77625,36.776250000000005,36,7.105427357601002e-15
2024-01,Sub-ICB,317,0.5,15.1928251121076,15.192825112107624,15,2.3092638912203256e-14
2024-01,Sub-ICB,317,0.92,35.056,35.05600000000001,35,1.4210854715202004e-14
2024-01,Sub-ICB,318,0.5,14.411214953271,14.411214953271028,14,2.842170943040401e-14
2024-01,Sub-ICB,318,0.92,35.7844444444445,35.78444444444445,35,-4.973799150320701e-14
2024-01,Sub-ICB,319,0.5,8.51612903225806,8.516129032258064,8,3.552713678800501e-15
2024-01,Sub-ICB,319,0.92,25.5533333333333,25.55333333333333,25,3.197442310920451e-14
