period,part,kind,code,name,release,lower_week,upper_week,open_band,count,share,group
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,99,100,False,12,1.57416666568e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,100,101,False,2,2.62361110947e-07,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,101,102,False,5,6.55902777368e-07,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,102,103,False,6,7.87083332841e-07,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,103,104,False,8,1.04944444379e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,104,,True,107,1.40363194357e-05,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,0,1,False,269497,0.0352662876447,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,1,2,False,336076,0.0439787934058,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,2,3,False,316412,0.0414055689163,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,3,4,False,305786,0.0400150540961,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,4,5,False,298118,0.0390116221705,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,5,6,False,288105,0.037701324326,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,6,7,False,262075,0.0342950471972,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7,8,False,267242,0.0349711990959,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,8,9,False,254378,0.0332878203412,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,9,10,False,239833,0.0313844664864,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,10,11,False,236187,0.030907352141,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,11,12,False,234222,0.0306502128956,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,12,13,False,222313,0.0290918051227,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,13,14,False,165641,0.0216757260814,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,14,15,False,209172,0.0273721782403,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,15,16,False,202127,0.0264502718871,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,16,17,False,154709,0.0202451682031,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,17,18,False,190352,0.0249093993096,within18
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,18,19,False,174257,0.0228032129712,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,19,20,False,164560,0.0215342667815,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,20,21,False,144618,0.0189246633046,middle
