period,kind,part,code,total,within18_count,middle_count,over52_count,within18_share,middle_share,over52_share,open_count,closed_share,band_count,first_release,p50,p50_band_lower,p50_midpoint,p50_lower_shift,p50_midpoint_shift,p75,p75_band_lower,p75_midpoint,p75_lower_shift,p75_midpoint_shift,p92,p92_band_lower,p92_midpoint,p92_lower_shift,p92_midpoint_shift,p95,p95_band_lower,p95_midpoint,p95_lower_shift,p95_midpoint_shift,gap_weeks,date,period_raw,specialty_code,total_waiting,waiting_0_18w,waiting_18_52w,waiting_52w_plus,pct_within_18w,pct_over_52w,specialty_name,count_difference,percentage_difference_after_rounding,middle_count_difference
2025-05,monthly,Part_2,C_130,589546,414116,165881,9549,0.7024320409264078,0.2813707496955284,0.0161972093780638,3,0.9999949113385554,105,False,10.584881021474173,10,10.5,-0.5848810214741729,-0.0848810214741728,20.558811196142152,20,20.5,-0.5588111961421518,-0.0588111961421518,36.94669618696189,36,36.5,-0.9466961869618872,-0.446696186961887,42.38771293947081,42,42.5,-0.3877129394708092,0.1122870605291908,18.946696186961887,2025-05-01,RTT-May-2025,C_130,589546.0,414116.0,165881.0,9549.0,70.24,1.62,Ophthalmology,0.0,0.0,0.0
2025-05,monthly,Part_2,C_301,376849,240350,129956,6543,0.637788610292186,0.3448489978744802,0.0173623918333337,21,0.9999442747625706,105,False,12.713863422157484,12,12.5,-0.713863422157484,-0.213863422157484,24.768025716145832,24,24.5,-0.7680257161458321,-0.2680257161458321,39.339516908212566,39,39.5,-0.3395169082125662,0.1604830917874338,43.990166447656584,43,43.5,-0.990166447656584,-0.4901664476565841,21.33951690821257,2025-05-01,RTT-May-2025,C_301,376849.0,240350.0,129956.0,6543.0,63.78,1.74,Gastroenterology,0.0,0.0,0.0
2025-05,monthly,Part_2,C_320,400038,245882,146501,7655,0.6146466085721857,0.3662177093176148,0.0191356821101995,1,0.9999975002374776,105,False,13.690406121247792,13,13.5,-0.6904061212477934,-0.1904061212477934,25.799257350712335,25,25.5,-0.7992573507123382,-0.2992573507123381,40.59334219269104,40,40.5,-0.5933421926910398,-0.0933421926910398,45.04639513108613,45,45.5,-0.046395131086129,0.453604868913871,22.59334219269104,2025-05-01,RTT-May-2025,C_320,400038.0,245882.0,146501.0,7655.0,61.46,1.91,Cardiology,0.0,0.0,0.0
2025-05,monthly,Part_2,C_400,222406,123241,92414,6751,0.5541262376015036,0.4155193654847441,0.0303543969137523,0,1.0,105,False,15.78621659634318,15,15.5,-0.7862165963431789,-0.2862165963431788,29.337440617577197,29,29.5,-0.3374406175771973,0.1625593824228026,44.37826231322635,44,44.5,-0.3782623132263509,0.121737686773649,48.453643303261615,48,48.5,-0.4536433032616145,0.0463566967383854,26.37826231322635,2025-05-01,RTT-May-2025,C_400,222406.0,123241.0,92414.0,6751.0,55.41,3.04,Neurology,0.0,0.0,0.0
2025-06,monthly,Part_2,C_100,394989,241189,142790,11010,0.6106220679563228,0.3615037380787819,0.0278741939648952,15,0.9999620242589036,105,False,13.460025014431404,13,13.5,-0.4600250144314035,0.0399749855685964,26.40035355414961,26,26.5,-0.4003535541496106,0.0996464458503894,42.54457103637612,42,42.5,-0.5445710363761194,-0.0445710363761193,47.391823476702506,47,47.5,-0.3918234767025055,0.1081765232974945,24.54457103637612,2025-06-01,RTT-June-2025,C_100,394989.0,241189.0,142790.0,11010.0,61.06,2.79,General Surgery,0.0,0.0,0.0
2025-06,monthly,Part_2,C_110,848356,499760,323064,25532,0.589092315018695,0.3808118289963176,0.0300958559849874,26,0.9999693524888136,105,False,14.379021103823671,14,14.5,-0.379021103823673,0.1209788961763269,27.86956170143943,27,27.5,-0.8695617014394301,-0.3695617014394301,43.045957930642416,43,43.5,-0.045957930642416,0.4540420693575839,47.928903383611896,47,47.5,-0.928903383611896,-0.428903383611896,25.045957930642416,2025-06-01,RTT-June-2025,C_110,848356.0,499760.0,323064.0,25532.0,58.91,3.01,Trauma & Orthopaedics,0.0,0.0,0.0
2025-06,monthly,Part_2,C_120,635920,329485,278606,27829,0.5181233488489118,0.4381148572147439,0.0437617939363442,7,0.9999889923260789,105,False,17.228426056102297,17,17.5,-0.2284260561022968,0.2715739438977032,31.44784451566215,31,31.5,-0.4478445156621511,0.0521554843378488,46.69472796288486,46,46.5,-0.6947279628848619,-0.1947279628848619,50.96896217264791,50,50.5,-0.9689621726479132,-0.4689621726479132,28.694727962884865,2025-06-01,RTT-June-2025,C_120,635920.0,329485.0,278606.0,27829.0,51.81,4.38,ENT,0.0,0.0,0.0
2025-06,monthly,Part_2,C_130,592361,418677,164878,8806,0.7067936612977559,0.2783404039091027,0.0148659347931413,8,0.9999864947219684,105,False,10.333882748367914,10,10.5,-0.3338827483679143,0.1661172516320856,20.30423119985072,20,20.5,-0.3042311998507188,0.1957688001492812,36.45515284910736,36,36.5,-0.4551528491073568,0.0448471508926431,41.45008722958826,41,41.5,-0.4500872295882629,0.049912770411737,18.455152849107357,2025-06-01,RTT-June-2025,C_130,592361.0,418677.0,164878.0,8806.0,70.68,1.49,Ophthalmology,0.0,0.0,0.0
2025-06,monthly,Part_2,C_301,373867,241376,126316,6175,0.6456199664586605,0.3378634648150278,0.0165165687263117,42,0.9998876605851814,105,False,12.49772493131868,12,12.5,-0.4977249313186807,0.0022750686813193,23.66440173689289,23,23.5,-0.6644017368928914,-0.1644017368928914,39.096850068775794,39,39.5,-0.0968500687757938,0.4031499312242061,43.7278856825749,43,43.5,-0.7278856825749003,-0.2278856825749002,21.09685006877579,2025-06-01,RTT-June-2025,C_301,373867.0,241376.0,126316.0,6175.0,64.56,1.65,Gastroenterology,0.0,0.0,0.0
2025-06,monthly,Part_2,C_320,395307,244312,143638,7357,0.618031049285745,0.363358098895289,0.018610851818966,2,0.9999949406410714,105,False,13.687938046205762,13,13.5,-0.6879380462057618,-0.1879380462057618,24.736881618460565,24,24.5,-0.7368816184605649,-0.2368816184605648,40.02693446088795,40,40.5,-0.0269344608879507,0.4730655391120493,44.756707875457856,44,44.5,-0.756707875457856,-0.256707875457856,22.02693446088795,2025-06-01,RTT-June-2025,C_320,395307.0,244312.0,143638.0,7357.0,61.8,1.86,Cardiology,0.0,0.0,0.0
2025-06,monthly,Part_2,C_400,222585,125636,90231,6718,0.5644405508008177,0.4053777208706786,0.0301817283285037,1,0.9999955073342768,105,False,15.352864583333334,15,15.5,-0.3528645833333339,0.147135416666666,28.905134581626683,28,28.5,-0.9051345816266833,-0.4051345816266831,43.739909149902665,43,43.5,-0.7399091499026653,-0.2399091499026653,48.30181047765794,48,48.5,-0.3018104776579378,0.1981895223420622,25.739909149902665,2025-06-01,RTT-June-2025,C_400,222585.0,125636.0,90231.0,6718.0,56.44,3.02,Neurology,0.0,0.0,0.0
2025-07,monthly,Part_2,C_100,395120,241466,142547,11107,0.6111206722008504,0.3607688803401498,0.0281104474589997,18,0.9999544442194775,105,False,13.04683908045977,13,13.5,-0.0468390804597707,0.4531609195402293,25.746753246753247,25,25.5,-0.7467532467532472,-0.2467532467532471,42.482466666666674,42,42.5,-0.4824666666666743,0.0175333333333256,47.09521507974867,47,47.5,-0.0952150797486695,0.4047849202513305,24.48246666666667,2025-07-01,RTT-July-2025,C_100,395120.0,241466.0,142547.0,11107.0,61.11,2.81,General Surgery,0.0,0.0,0.0
