date,period_raw,specialty_code,total_waiting,waiting_0_18w,waiting_18_52w,waiting_52w_plus,pct_within_18w,pct_over_52w,specialty_name
2024-07-01,RTT-July-2024,C_110,850977.0,485146.0,324223.0,41608.0,57.01,4.89,Trauma & Orthopaedics
2024-07-01,RTT-July-2024,C_120,657441.0,324733.0,290574.0,42134.0,49.39,6.41,ENT
2024-07-01,RTT-July-2024,C_130,606819.0,398903.0,194158.0,13758.0,65.74,2.27,Ophthalmology
2024-07-01,RTT-July-2024,C_320,417864.0,250335.0,157725.0,9804.0,59.91,2.35,Cardiology
2024-07-01,RTT-July-2024,C_150,57745.0,33555.0,21820.0,2370.0,58.11,4.1,
2024-07-01,RTT-July-2024,C_160,107628.0,58234.0,42227.0,7167.0,54.11,6.66,
2024-07-01,RTT-July-2024,C_170,9290.0,6301.0,2676.0,313.0,67.83,3.37,
2024-07-01,RTT-July-2024,C_300,39414.0,26838.0,12084.0,492.0,68.09,1.25,
2024-07-01,RTT-July-2024,C_140,324993.0,160236.0,146068.0,18689.0,49.3,5.75,
2024-08-01,RTT-August-2024,C_410,130556.0,86157.0,41824.0,2575.0,65.99,1.97,
2024-08-01,RTT-August-2024,C_400,236621.0,125671.0,101924.0,9026.0,53.11,3.81,Neurology
2024-08-01,RTT-August-2024,C_430,25699.0,20628.0,4899.0,172.0,80.27,0.67,
2024-08-01,RTT-August-2024,C_502,592640.0,319942.0,246138.0,26560.0,53.99,4.48,
2024-08-01,RTT-August-2024,C_999,7641774.0,4452245.0,2906865.0,282664.0,58.26,3.7,
2024-08-01,RTT-August-2024,X04,355940.0,208435.0,135955.0,11550.0,58.56,3.24,
2024-08-01,RTT-August-2024,X03,2243.0,1646.0,587.0,10.0,73.38,0.45,
2024-08-01,RTT-August-2024,C_340,231349.0,144682.0,82103.0,4564.0,62.54,1.97,
2024-08-01,RTT-August-2024,X05,489491.0,287237.0,181425.0,20829.0,58.68,4.26,
2024-08-01,RTT-August-2024,X06,177695.0,125360.0,48360.0,3975.0,70.55,2.24,
2024-08-01,RTT-August-2024,X02,652957.0,416627.0,221859.0,14471.0,63.81,2.22,
2024-08-01,RTT-August-2024,C_330,449619.0,275772.0,160737.0,13110.0,61.33,2.92,
2024-08-01,RTT-August-2024,C_320,418669.0,246265.0,162277.0,10127.0,58.82,2.42,Cardiology
2024-08-01,RTT-August-2024,C_301,390702.0,237748.0,142910.0,10044.0,60.85,2.57,Gastroenterology
2024-08-01,RTT-August-2024,C_300,40846.0,27680.0,12619.0,547.0,67.77,1.34,
2024-08-01,RTT-August-2024,C_170,9398.0,6480.0,2652.0,266.0,68.95,2.83,
2024-08-01,RTT-August-2024,C_160,108718.0,59102.0,42487.0,7129.0,54.36,6.56,
2024-08-01,RTT-August-2024,C_150,60250.0,35400.0,22587.0,2263.0,58.76,3.76,
2024-08-01,RTT-August-2024,C_140,324884.0,159081.0,148218.0,17585.0,48.97,5.41,
2024-08-01,RTT-August-2024,C_130,608212.0,397342.0,197536.0,13334.0,65.33,2.19,Ophthalmology
2024-08-01,RTT-August-2024,C_120,651027.0,314918.0,297425.0,38684.0,48.37,5.94,ENT
2024-08-01,RTT-August-2024,C_110,853954.0,486868.0,326972.0,40114.0,57.01,4.7,Trauma & Orthopaedics
2024-08-01,RTT-August-2024,C_101,408622.0,229536.0,163229.0,15857.0,56.17,3.88,
2024-08-01,RTT-August-2024,C_100,421682.0,239668.0,162142.0,19872.0,56.84,4.71,General Surgery
2024-09-01,RTT-September-2024,C_400,234720.0,126698.0,99519.0,8503.0,53.98,3.62,Neurology
2024-09-01,RTT-September-2024,C_430,25373.0,20449.0,4725.0,199.0,80.59,0.78,
2024-09-01,RTT-September-2024,C_502,587887.0,321196.0,244068.0,22623.0,54.64,3.85,
2024-09-01,RTT-September-2024,C_999,7571549.0,4429902.0,2892623.0,249024.0,58.51,3.29,
2024-09-01,RTT-September-2024,C_410,127147.0,83453.0,41498.0,2196.0,65.64,1.73,
2024-09-01,RTT-September-2024,X03,2012.0,1484.0,520.0,8.0,73.76,0.4,
2024-09-01,RTT-September-2024,X04,347863.0,202097.0,135919.0,9847.0,58.1,2.83,
2024-09-01,RTT-September-2024,X05,489190.0,289870.0,180976.0,18344.0,59.26,3.75,
2024-09-01,RTT-September-2024,X06,179496.0,126660.0,49045.0,3791.0,70.56,2.11,
2024-09-01,RTT-September-2024,C_340,229453.0,142051.0,83750.0,3652.0,61.91,1.59,
2024-09-01,RTT-September-2024,X02,645924.0,412789.0,220638.0,12497.0,63.91,1.93,
2024-09-01,RTT-September-2024,C_330,447259.0,271163.0,162710.0,13386.0,60.63,2.99,
2024-09-01,RTT-September-2024,C_320,412164.0,242201.0,160822.0,9141.0,58.76,2.22,Cardiology
2024-09-01,RTT-September-2024,C_301,390251.0,239284.0,142245.0,8722.0,61.32,2.23,Gastroenterology
2024-09-01,RTT-September-2024,C_101,403522.0,228265.0,161191.0,14066.0,56.57,3.49,
2024-09-01,RTT-September-2024,C_110,851887.0,489898.0,325610.0,36379.0,57.51,4.27,Trauma & Orthopaedics
2024-09-01,RTT-September-2024,C_120,639967.0,310934.0,297472.0,31561.0,48.59,4.93,ENT
2024-09-01,RTT-September-2024,C_130,600374.0,392350.0,195730.0,12294.0,65.35,2.05,Ophthalmology
2024-09-01,RTT-September-2024,C_100,413805.0,238376.0,158368.0,17061.0,57.61,4.12,General Surgery
2024-09-01,RTT-September-2024,C_150,60565.0,35964.0,22619.0,1982.0,59.38,3.27,
2024-09-01,RTT-September-2024,C_160,108226.0,59455.0,42604.0,6167.0,54.94,5.7,
2024-09-01,RTT-September-2024,C_170,9160.0,6294.0,2646.0,220.0,68.71,2.4,
2024-09-01,RTT-September-2024,C_300,39878.0,27290.0,12031.0,557.0,68.43,1.4,
2024-09-01,RTT-September-2024,C_140,325426.0,161681.0,147917.0,15828.0,49.68,4.86,
2024-10-01,RTT-October-2024,C_400,234414.0,127401.0,98515.0,8498.0,54.35,3.63,Neurology
2024-10-01,RTT-October-2024,X06,175693.0,123864.0,48228.0,3601.0,70.5,2.05,
2024-10-01,RTT-October-2024,X05,485436.0,291478.0,177188.0,16770.0,60.04,3.45,
2024-10-01,RTT-October-2024,X04,343753.0,199840.0,134788.0,9125.0,58.13,2.65,
2024-10-01,RTT-October-2024,X03,3001.0,2185.0,807.0,9.0,72.81,0.3,
2024-10-01,RTT-October-2024,X02,643077.0,412832.0,218644.0,11601.0,64.2,1.8,
2024-10-01,RTT-October-2024,C_999,7541371.0,4444500.0,2861957.0,234914.0,58.93,3.12,
2024-10-01,RTT-October-2024,C_502,590381.0,326801.0,241498.0,22082.0,55.35,3.74,
2024-10-01,RTT-October-2024,C_430,24458.0,19943.0,4431.0,84.0,81.54,0.34,
2024-10-01,RTT-October-2024,C_410,125910.0,82905.0,40844.0,2161.0,65.84,1.72,
2024-10-01,RTT-October-2024,C_340,226162.0,139374.0,83306.0,3482.0,61.63,1.54,
2024-10-01,RTT-October-2024,C_330,436787.0,260783.0,163146.0,12858.0,59.7,2.94,
2024-10-01,RTT-October-2024,C_100,412644.0,239771.0,157044.0,15829.0,58.11,3.84,General Surgery
2024-10-01,RTT-October-2024,C_320,412017.0,245532.0,157291.0,9194.0,59.59,2.23,Cardiology
2024-10-01,RTT-October-2024,C_101,404218.0,232760.0,157816.0,13642.0,57.58,3.37,
2024-10-01,RTT-October-2024,C_110,855660.0,497788.0,323243.0,34629.0,58.18,4.05,Trauma & Orthopaedics
2024-10-01,RTT-October-2024,C_130,593842.0,392659.0,190267.0,10916.0,66.12,1.84,Ophthalmology
2024-10-01,RTT-October-2024,C_140,326403.0,164383.0,146848.0,15172.0,50.36,4.65,
2024-10-01,RTT-October-2024,C_120,637647.0,310467.0,298068.0,29112.0,48.69,4.57,ENT
2024-10-01,RTT-October-2024,C_160,108465.0,59865.0,42823.0,5777.0,55.19,5.33,
2024-10-01,RTT-October-2024,C_170,8928.0,6133.0,2593.0,202.0,68.69,2.26,
2024-10-01,RTT-October-2024,C_300,39204.0,27284.0,11467.0,453.0,69.59,1.16,
2024-10-01,RTT-October-2024,C_301,392609.0,243903.0,140759.0,7947.0,62.12,2.02,Gastroenterology
2024-10-01,RTT-October-2024,C_150,60662.0,36549.0,22343.0,1770.0,60.25,2.92,
2024-11-01,RTT-November-2024,C_430,24331.0,19951.0,4294.0,86.0,82.0,0.35,
2024-11-01,RTT-November-2024,C_340,223739.0,137737.0,82881.0,3121.0,61.56,1.39,
2024-11-01,RTT-November-2024,C_400,234563.0,127977.0,98503.0,8083.0,54.56,3.45,Neurology
2024-11-01,RTT-November-2024,C_410,124909.0,81754.0,41170.0,1985.0,65.45,1.59,
2024-11-01,RTT-November-2024,C_502,584820.0,326037.0,237995.0,20788.0,55.75,3.55,
2024-11-01,RTT-November-2024,C_330,420136.0,248673.0,160092.0,11371.0,59.19,2.71,
2024-11-01,RTT-November-2024,X02,636871.0,408722.0,217078.0,11071.0,64.18,1.74,
2024-11-01,RTT-November-2024,X03,3088.0,2294.0,789.0,5.0,74.29,0.16,
2024-11-01,RTT-November-2024,X04,336806.0,197553.0,130356.0,8897.0,58.65,2.64,
