period_raw,specialty_code,specialty_name,total_waiting,waiting_0_18w,waiting_18_52w,waiting_52w_plus,date,pct_within_18w,pct_over_52w
RTT-May-2024,X04,Other - Paediatric Services,362921.0,222837.0,126422.0,13662.0,2024-05-01,61.4,3.76
RTT-May-2024,C_101,Urology Service,417276.0,240855.0,158109.0,18312.0,2024-05-01,57.72,4.39
RTT-May-2024,C_340,Respiratory Medicine Service,227797.0,146137.0,75733.0,5927.0,2024-05-01,64.15,2.6
RTT-May-2024,C_170,Cardiothoracic Surgery Service,9054.0,6077.0,2670.0,307.0,2024-05-01,67.12,3.39
RTT-June-2024,C_430,Elderly Medicine Service,24474.0,19418.0,4926.0,130.0,2024-06-01,79.34,0.53
RTT-June-2024,C_120,Ear Nose and Throat Service,658437.0,329861.0,283743.0,44833.0,2024-06-01,50.1,6.81
RTT-June-2024,C_340,Respiratory Medicine Service,230131.0,146433.0,78104.0,5594.0,2024-06-01,63.63,2.43
RTT-June-2024,C_300,General Internal Medicine Service,37846.0,25694.0,11526.0,626.0,2024-06-01,67.89,1.65
RTT-June-2024,X03,Other - Mental Health Services,2800.0,2137.0,647.0,16.0,2024-06-01,76.32,0.57
RTT-June-2024,X04,Other - Paediatric Services,362968.0,221260.0,128219.0,13489.0,2024-06-01,60.96,3.72
RTT-June-2024,C_330,Dermatology Service,435109.0,272673.0,151504.0,10932.0,2024-06-01,62.67,2.51
RTT-June-2024,C_170,Cardiothoracic Surgery Service,9148.0,6170.0,2667.0,311.0,2024-06-01,67.45,3.4
RTT-June-2024,C_400,Neurology Service,234156.0,125101.0,100733.0,8322.0,2024-06-01,53.43,3.55
RTT-June-2024,C_100,General Surgery Service,423728.0,240583.0,162755.0,20390.0,2024-06-01,56.78,4.81
RTT-June-2024,C_502,Gynaecology Service,595965.0,323304.0,243600.0,29061.0,2024-06-01,54.25,4.88
RTT-June-2024,C_320,Cardiology Service,417312.0,251224.0,155862.0,10226.0,2024-06-01,60.2,2.45
RTT-June-2024,C_160,Plastic Surgery Service,107667.0,58064.0,42364.0,7239.0,2024-06-01,53.93,6.72
RTT-June-2024,C_410,Rheumatology Service,126016.0,84459.0,39217.0,2340.0,2024-06-01,67.02,1.86
RTT-June-2024,C_110,Trauma and Orthopaedic Service,840043.0,471570.0,325815.0,42658.0,2024-06-01,56.14,5.08
RTT-June-2024,C_999,Total,7621297.0,4487082.0,2831522.0,302693.0,2024-06-01,58.88,3.97
RTT-June-2024,C_101,Urology Service,414127.0,236224.0,160485.0,17418.0,2024-06-01,57.04,4.21
RTT-June-2024,X02,Other - Medical Services,646386.0,418215.0,213778.0,14393.0,2024-06-01,64.7,2.23
RTT-June-2024,C_301,Gastroenterology Service,390983.0,237239.0,141769.0,11975.0,2024-06-01,60.68,3.06
RTT-June-2024,X05,Other - Surgical Services,489801.0,289836.0,178788.0,21177.0,2024-06-01,59.17,4.32
RTT-June-2024,C_150,Neurosurgical Service,58596.0,33664.0,22309.0,2623.0,2024-06-01,57.45,4.48
RTT-June-2024,X06,Other - Other Services,177934.0,126451.0,47432.0,4051.0,2024-06-01,71.07,2.28
RTT-June-2024,C_130,Ophthalmology Service,610276.0,403453.0,191918.0,14905.0,2024-06-01,66.11,2.44
RTT-June-2024,C_140,Oral Surgery Service,327394.0,164049.0,143361.0,19984.0,2024-06-01,50.11,6.1
RTT-July-2024,C_330,Dermatology Service,441116.0,276296.0,153136.0,11684.0,2024-07-01,62.64,2.65
RTT-July-2024,C_120,Ear Nose and Throat Service,657441.0,324733.0,290574.0,42134.0,2024-07-01,49.39,6.41
RTT-July-2024,C_170,Cardiothoracic Surgery Service,9290.0,6301.0,2676.0,313.0,2024-07-01,67.83,3.37
RTT-July-2024,C_300,General Internal Medicine Service,39414.0,26838.0,12084.0,492.0,2024-07-01,68.09,1.25
RTT-July-2024,X04,Other - Paediatric Services,360170.0,216057.0,131628.0,12485.0,2024-07-01,59.99,3.47
RTT-July-2024,X02,Other - Medical Services,648193.0,418291.0,215778.0,14124.0,2024-07-01,64.53,2.18
RTT-July-2024,C_301,Gastroenterology Service,389622.0,237948.0,141189.0,10485.0,2024-07-01,61.07,2.69
RTT-July-2024,C_101,Urology Service,411030.0,232783.0,161857.0,16390.0,2024-07-01,56.63,3.99
RTT-July-2024,X03,Other - Mental Health Services,2493.0,1934.0,547.0,12.0,2024-07-01,77.58,0.48
RTT-July-2024,C_400,Neurology Service,235455.0,126389.0,100759.0,8307.0,2024-07-01,53.68,3.53
RTT-July-2024,X06,Other - Other Services,176762.0,124223.0,48388.0,4151.0,2024-07-01,70.28,2.35
RTT-July-2024,C_100,General Surgery Service,419781.0,240220.0,159366.0,20195.0,2024-07-01,57.23,4.81
RTT-July-2024,C_160,Plastic Surgery Service,107628.0,58234.0,42227.0,7167.0,2024-07-01,54.11,6.66
RTT-July-2024,C_410,Rheumatology Service,128190.0,85624.0,40155.0,2411.0,2024-07-01,66.79,1.88
RTT-July-2024,C_130,Ophthalmology Service,606819.0,398903.0,194158.0,13758.0,2024-07-01,65.74,2.27
RTT-July-2024,C_140,Oral Surgery Service,324993.0,160236.0,146068.0,18689.0,2024-07-01,49.3,5.75
RTT-July-2024,C_340,Respiratory Medicine Service,230439.0,146140.0,79354.0,4945.0,2024-07-01,63.42,2.15
RTT-July-2024,C_150,Neurosurgical Service,57745.0,33555.0,21820.0,2370.0,2024-07-01,58.11,4.1
RTT-July-2024,X05,Other - Surgical Services,490881.0,291422.0,178478.0,20981.0,2024-07-01,59.37,4.27
RTT-July-2024,C_320,Cardiology Service,417864.0,250335.0,157725.0,9804.0,2024-07-01,59.91,2.35
RTT-July-2024,C_502,Gynaecology Service,591491.0,322018.0,241802.0,27671.0,2024-07-01,54.44,4.68
RTT-July-2024,C_110,Trauma and Orthopaedic Service,850977.0,485146.0,324223.0,41608.0,2024-07-01,57.01,4.89
RTT-July-2024,C_430,Elderly Medicine Service,25287.0,20383.0,4754.0,150.0,2024-07-01,80.61,0.59
RTT-July-2024,C_999,Total,7623081.0,4484009.0,2848746.0,290326.0,2024-07-01,58.82,3.81
RTT-August-2024,C_150,Neurosurgical Service,60250.0,35400.0,22587.0,2263.0,2024-08-01,58.76,3.76
RTT-August-2024,C_410,Rheumatology Service,130556.0,86157.0,41824.0,2575.0,2024-08-01,65.99,1.97
RTT-August-2024,X05,Other - Surgical Services,489491.0,287237.0,181425.0,20829.0,2024-08-01,58.68,4.26
RTT-August-2024,C_400,Neurology Service,236621.0,125671.0,101924.0,9026.0,2024-08-01,53.11,3.81
RTT-August-2024,C_320,Cardiology Service,418669.0,246265.0,162277.0,10127.0,2024-08-01,58.82,2.42
RTT-August-2024,C_300,General Internal Medicine Service,40846.0,27680.0,12619.0,547.0,2024-08-01,67.77,1.34
RTT-August-2024,C_101,Urology Service,408622.0,229536.0,163229.0,15857.0,2024-08-01,56.17,3.88
RTT-August-2024,C_430,Elderly Medicine Service,25699.0,20628.0,4899.0,172.0,2024-08-01,80.27,0.67
RTT-August-2024,X04,Other - Paediatric Services,355940.0,208435.0,135955.0,11550.0,2024-08-01,58.56,3.24
RTT-August-2024,C_170,Cardiothoracic Surgery Service,9398.0,6480.0,2652.0,266.0,2024-08-01,68.95,2.83
RTT-August-2024,X06,Other - Other Services,177695.0,125360.0,48360.0,3975.0,2024-08-01,70.55,2.24
RTT-August-2024,C_140,Oral Surgery Service,324884.0,159081.0,148218.0,17585.0,2024-08-01,48.97,5.41
RTT-August-2024,C_120,Ear Nose and Throat Service,651027.0,314918.0,297425.0,38684.0,2024-08-01,48.37,5.94
RTT-August-2024,X02,Other - Medical Services,652957.0,416627.0,221859.0,14471.0,2024-08-01,63.81,2.22
RTT-August-2024,C_999,Total,7641774.0,4452245.0,2906865.0,282664.0,2024-08-01,58.26,3.7
RTT-August-2024,C_502,Gynaecology Service,592640.0,319942.0,246138.0,26560.0,2024-08-01,53.99,4.48
RTT-August-2024,C_330,Dermatology Service,449619.0,275772.0,160737.0,13110.0,2024-08-01,61.33,2.92
RTT-August-2024,C_340,Respiratory Medicine Service,231349.0,144682.0,82103.0,4564.0,2024-08-01,62.54,1.97
RTT-August-2024,X03,Other - Mental Health Services,2243.0,1646.0,587.0,10.0,2024-08-01,73.38,0.45
RTT-August-2024,C_301,Gastroenterology Service,390702.0,237748.0,142910.0,10044.0,2024-08-01,60.85,2.57
RTT-August-2024,C_130,Ophthalmology Service,608212.0,397342.0,197536.0,13334.0,2024-08-01,65.33,2.19
RTT-August-2024,C_160,Plastic Surgery Service,108718.0,59102.0,42487.0,7129.0,2024-08-01,54.36,6.56
RTT-August-2024,C_110,Trauma and Orthopaedic Service,853954.0,486868.0,326972.0,40114.0,2024-08-01,57.01,4.7
RTT-August-2024,C_100,General Surgery Service,421682.0,239668.0,162142.0,19872.0,2024-08-01,56.84,4.71
RTT-September-2024,C_160,Plastic Surgery Service,108226.0,59455.0,42604.0,6167.0,2024-09-01,54.94,5.7
RTT-September-2024,C_130,Ophthalmology Service,600374.0,392350.0,195730.0,12294.0,2024-09-01,65.35,2.05
RTT-September-2024,X05,Other - Surgical Services,489190.0,289870.0,180976.0,18344.0,2024-09-01,59.26,3.75
RTT-September-2024,C_999,Total,7571549.0,4429902.0,2892623.0,249024.0,2024-09-01,58.51,3.29
RTT-September-2024,C_100,General Surgery Service,413805.0,238376.0,158368.0,17061.0,2024-09-01,57.61,4.12
RTT-September-2024,C_120,Ear Nose and Throat Service,639967.0,310934.0,297472.0,31561.0,2024-09-01,48.59,4.93
RTT-September-2024,C_150,Neurosurgical Service,60565.0,35964.0,22619.0,1982.0,2024-09-01,59.38,3.27
RTT-September-2024,C_101,Urology Service,403522.0,228265.0,161191.0,14066.0,2024-09-01,56.57,3.49
RTT-September-2024,C_170,Cardiothoracic Surgery Service,9160.0,6294.0,2646.0,220.0,2024-09-01,68.71,2.4
RTT-September-2024,C_330,Dermatology Service,447259.0,271163.0,162710.0,13386.0,2024-09-01,60.63,2.99
RTT-September-2024,X03,Other - Mental Health Services,2012.0,1484.0,520.0,8.0,2024-09-01,73.76,0.4
RTT-September-2024,X02,Other - Medical Services,645924.0,412789.0,220638.0,12497.0,2024-09-01,63.91,1.93
RTT-September-2024,C_502,Gynaecology Service,587887.0,321196.0,244068.0,22623.0,2024-09-01,54.64,3.85
RTT-September-2024,X06,Other - Other Services,179496.0,126660.0,49045.0,3791.0,2024-09-01,70.56,2.11
RTT-September-2024,C_140,Oral Surgery Service,325426.0,161681.0,147917.0,15828.0,2024-09-01,49.68,4.86
RTT-September-2024,C_410,Rheumatology Service,127147.0,83453.0,41498.0,2196.0,2024-09-01,65.64,1.73
RTT-September-2024,C_340,Respiratory Medicine Service,229453.0,142051.0,83750.0,3652.0,2024-09-01,61.91,1.59
RTT-September-2024,C_110,Trauma and Orthopaedic Service,851887.0,489898.0,325610.0,36379.0,2024-09-01,57.51,4.27
RTT-September-2024,X04,Other - Paediatric Services,347863.0,202097.0,135919.0,9847.0,2024-09-01,58.1,2.83
RTT-September-2024,C_400,Neurology Service,234720.0,126698.0,99519.0,8503.0,2024-09-01,53.98,3.62
RTT-September-2024,C_300,General Internal Medicine Service,39878.0,27290.0,12031.0,557.0,2024-09-01,68.43,1.4
RTT-September-2024,C_430,Elderly Medicine Service,25373.0,20449.0,4725.0,199.0,2024-09-01,80.59,0.78
RTT-September-2024,C_320,Cardiology Service,412164.0,242201.0,160822.0,9141.0,2024-09-01,58.76,2.22
RTT-September-2024,C_301,Gastroenterology Service,390251.0,239284.0,142245.0,8722.0,2024-09-01,61.32,2.23
RTT-October-2024,C_130,Ophthalmology Service,593842.0,392659.0,190267.0,10916.0,2024-10-01,66.12,1.84
