specialty_code,specialty,provider_code,from_period,to_period,from_total,to_total,relative_change,material_event,opposite_siblings,sibling_details,opposite_material_sibling
C_301,Gastroenterology,NT347,2024-06,2024-07,1.0,4.0,3.0,False,C_101|C_130|C_150|C_400|C_502,C_101 171->169 (-1.2%); C_130 1->0 (-100.0%); C_150 94->86 (-8.5%); C_400 41->33 (-19.5%); C_502 229->208 (-9.2%),False
C_301,Gastroenterology,NT347,2024-09,2024-10,7.0,14.0,1.0,False,C_100|C_150|C_320|C_502|X05,C_100 380->373 (-1.8%); C_150 93->83 (-10.8%); C_320 2->1 (-50.0%); C_502 249->216 (-13.3%); X05 220->80 (-63.6%),False
C_301,Gastroenterology,NT347,2025-07,2025-08,5.0,8.0,0.6,False,C_100|C_101|C_120|C_320|C_502|X05,C_100 488->427 (-12.5%); C_101 336->282 (-16.1%); C_120 83->76 (-8.4%); C_320 1->0 (-100.0%); C_502 319->253 (-20.7%); X05 17->13 (-23.5%),False
C_301,Gastroenterology,NT347,2026-02,2026-03,5.0,2.0,-0.6,False,X05,X05 165->445 (+169.7%),False
C_301,Gastroenterology,NT347,2026-04,2026-05,2.0,5.0,1.5,False,C_100,C_100 449->395 (-12.0%),False
C_301,Gastroenterology,NT348,2024-12,2025-01,0.0,1.0,inf,False,C_110|X05,C_110 552->494 (-10.5%); X05 233->208 (-10.7%),False
C_301,Gastroenterology,NT348,2025-01,2025-02,1.0,0.0,-1.0,False,C_100|C_101|C_110,C_100 234->243 (+3.8%); C_101 40->46 (+15.0%); C_110 494->514 (+4.0%),False
C_301,Gastroenterology,NT348,2026-02,2026-03,0.0,2.0,inf,False,C_100|C_101|C_110|C_502|X05,C_100 278->245 (-11.9%); C_101 63->55 (-12.7%); C_110 913->762 (-16.5%); C_502 71->53 (-25.4%); X05 178->165 (-7.3%),False
C_301,Gastroenterology,NT348,2026-03,2026-04,2.0,0.0,-1.0,False,C_100|C_160,C_100 245->291 (+18.8%); C_160 0->15 (+inf%),False
C_301,Gastroenterology,NT348,2026-04,2026-05,0.0,16.0,inf,False,C_100,C_100 291->246 (-15.5%),False
C_301,Gastroenterology,NT350,2026-02,2026-03,0.0,8.0,inf,False,C_100|C_101|C_110|C_160,C_100 272->222 (-18.4%); C_101 26->18 (-30.8%); C_110 665->637 (-4.2%); C_160 19->17 (-10.5%),False
