specialty_code,specialty,floor,lag_months,n_pairs,mean_spearman,min_spearman,max_spearman,mean_n_providers,panel
C_110,Trauma and Orthopaedics,500,11,18,0.823447578779192,0.7610946541747038,0.85488377259746,191.0,balanced
C_110,Trauma and Orthopaedics,500,12,17,0.8134949790384647,0.7733587076329566,0.8386330933393267,191.0,balanced
C_110,Trauma and Orthopaedics,500,13,16,0.8042183850491837,0.7541523146872416,0.8292556489391015,191.0,balanced
C_110,Trauma and Orthopaedics,500,14,15,0.793148227470171,0.7534289749242215,0.8187365746145421,191.0,balanced
C_110,Trauma and Orthopaedics,500,15,14,0.7816895885488854,0.7260436759437862,0.805545604849821,191.0,balanced
C_110,Trauma and Orthopaedics,500,16,13,0.7706809450700152,0.7123467208597409,0.7940944475062001,191.0,balanced
C_110,Trauma and Orthopaedics,500,17,12,0.7588613982478423,0.706317167263709,0.7779966933039404,191.0,balanced
C_110,Trauma and Orthopaedics,500,18,11,0.7475039894643097,0.6965469137503445,0.7709699641774593,191.0,balanced
C_110,Trauma and Orthopaedics,500,19,10,0.7364062389350507,0.6987737668779277,0.7587369109947644,191.0,balanced
C_110,Trauma and Orthopaedics,500,20,9,0.7263737091467216,0.6972421367983118,0.743930834940755,191.0,balanced
C_110,Trauma and Orthopaedics,500,21,8,0.7160479551958245,0.6867628823367319,0.725270391292367,191.0,balanced
C_110,Trauma and Orthopaedics,500,22,7,0.7051508873168039,0.6787630890052355,0.7139254589442737,191.0,balanced
C_110,Trauma and Orthopaedics,500,23,6,0.6958588798567097,0.6672309864976578,0.7091640259024523,191.0,balanced
C_110,Trauma and Orthopaedics,500,24,5,0.6852373243317718,0.6605728162028106,0.7027986359878755,191.0,balanced
C_110,Trauma and Orthopaedics,500,25,4,0.6708855745384402,0.6560209424083768,0.6821800082667401,191.0,balanced
C_110,Trauma and Orthopaedics,500,26,3,0.6535679020850556,0.6477610912096997,0.662472444199504,191.0,balanced
C_110,Trauma and Orthopaedics,500,27,2,0.6459139914577019,0.6408514742353265,0.6509765086800772,191.0,balanced
C_110,Trauma and Orthopaedics,500,28,1,0.643799944888399,0.643799944888399,0.643799944888399,191.0,balanced
C_301,Gastroenterology,1000,1,28,0.9726232493213057,0.9184223910731624,0.9854199096835843,92.0,balanced
C_301,Gastroenterology,1000,2,27,0.9377928704716924,0.9012838493904413,0.9624863215326047,92.0,balanced
C_301,Gastroenterology,1000,3,26,0.8986720475554222,0.8418846230907941,0.9364856742135844,92.0,balanced
C_301,Gastroenterology,1000,4,25,0.8602795801673783,0.79960852611624,0.9093753371453231,92.0,balanced
C_301,Gastroenterology,1000,5,24,0.8242676561400263,0.7585037683214401,0.8768552625495122,92.0,balanced
C_301,Gastroenterology,1000,6,23,0.7913361106848514,0.7359863138264259,0.8631536766179122,92.0,balanced
C_301,Gastroenterology,1000,7,22,0.7617929055516712,0.7085523172479694,0.848326988579443,92.0,balanced
C_301,Gastroenterology,1000,8,21,0.7361389695591258,0.6887782624108009,0.8268113373302715,92.0,balanced
C_301,Gastroenterology,1000,9,20,0.7154000277422439,0.6398748516560577,0.805434397299755,92.0,balanced
C_301,Gastroenterology,1000,10,19,0.6988644337134776,0.6248015658955349,0.7687992232171754,92.0,balanced
C_301,Gastroenterology,1000,11,18,0.6841845235954633,0.6307044988671917,0.731177658246382,92.0,balanced
C_301,Gastroenterology,1000,12,17,0.6687403842754063,0.6151842547354468,0.7407024952607001,92.0,balanced
C_301,Gastroenterology,1000,13,16,0.652710455743415,0.5944392213676926,0.7366336328468164,92.0,balanced
C_301,Gastroenterology,1000,14,15,0.6392912370471978,0.5603933233666754,0.7242575096712544,92.0,balanced
C_301,Gastroenterology,1000,15,14,0.6297148053309142,0.5313410292372424,0.7093845845599,92.0,balanced
C_301,Gastroenterology,1000,16,13,0.6222395578313152,0.5006550251992047,0.6875144490852765,92.0,balanced
C_301,Gastroenterology,1000,17,12,0.6156158007490405,0.495106576453,0.6747992540418907,92.0,balanced
C_301,Gastroenterology,1000,18,11,0.6110173136821103,0.48924988055422836,0.6721637408874435,92.0,balanced
C_301,Gastroenterology,1000,19,10,0.6097051615985698,0.48932694234237006,0.6751691506249711,92.0,balanced
C_301,Gastroenterology,1000,20,9,0.6080774453845982,0.5045081146062913,0.6593560716982877,92.0,balanced
C_301,Gastroenterology,1000,21,8,0.6074144999460567,0.5472928193825809,0.6529599432825239,92.0,balanced
C_301,Gastroenterology,1000,22,7,0.6088761969347021,0.5727077971117241,0.6515265940230877,92.0,balanced
C_301,Gastroenterology,1000,23,6,0.60547703815586,0.5659417721128801,0.6410307784781838,92.0,balanced
C_301,Gastroenterology,1000,24,5,0.5938504693062898,0.5648937317941525,0.6241696592327728,92.0,balanced
C_301,Gastroenterology,1000,25,4,0.5721413929688824,0.5448422545196738,0.5885054636807792,92.0,balanced
C_301,Gastroenterology,1000,26,3,0.5512486578405231,0.5166376400597998,0.574480218238984,92.0,balanced
C_301,Gastroenterology,1000,27,2,0.5457978206926313,0.5340998412527164,0.5574958001325462,92.0,balanced
C_301,Gastroenterology,1000,28,1,0.5271180432470755,0.5271180432470755,0.5271180432470755,92.0,balanced
C_130,Ophthalmology,1000,1,28,0.9779549048895139,0.9588476914290734,0.988534024513465,103.0,balanced
C_130,Ophthalmology,1000,2,27,0.9475956758937913,0.9222642006765365,0.9737512630145413,103.0,balanced
C_130,Ophthalmology,1000,3,26,0.9120215329194815,0.8727320651935158,0.9398695251065325,103.0,balanced
C_130,Ophthalmology,1000,4,25,0.8755528708869658,0.821914949699073,0.9127861002504064,103.0,balanced
C_130,Ophthalmology,1000,5,24,0.8419744578189753,0.7935465448315249,0.8854061415454906,103.0,balanced
C_130,Ophthalmology,1000,6,23,0.8097928751654572,0.750669946843562,0.8689979352457936,103.0,balanced
C_130,Ophthalmology,1000,7,22,0.778095833349974,0.7152945569564645,0.850063699863814,103.0,balanced
C_130,Ophthalmology,1000,8,21,0.7448564190425985,0.6902539208364451,0.8134362781707156,103.0,balanced
C_130,Ophthalmology,1000,9,20,0.7125647981373281,0.6759873478891183,0.7688134252954356,103.0,balanced
C_130,Ophthalmology,1000,10,19,0.68527064927618,0.6438738303387076,0.7238940385713658,103.0,balanced
C_130,Ophthalmology,1000,11,18,0.6602283432666072,0.6393489434608796,0.6929556736809735,103.0,balanced
C_130,Ophthalmology,1000,12,17,0.6344280320747551,0.6133418266485086,0.6715393401572729,103.0,balanced
C_130,Ophthalmology,1000,13,16,0.6087187815753635,0.5697184026710013,0.6355489171023153,103.0,balanced
C_130,Ophthalmology,1000,14,15,0.5814157477778267,0.5220752976321223,0.6180204718183016,103.0,balanced
C_130,Ophthalmology,1000,15,14,0.5542500047068865,0.5000329482054211,0.601403593550938,103.0,balanced
C_130,Ophthalmology,1000,16,13,0.5260831511325734,0.4708518209374863,0.5849844045161008,103.0,balanced
C_130,Ophthalmology,1000,17,12,0.4981851030180556,0.44623951148794094,0.547950621622809,103.0,balanced
C_130,Ophthalmology,1000,18,11,0.4739639287040772,0.4236480253042218,0.5289944207705487,103.0,balanced
C_130,Ophthalmology,1000,19,10,0.4556462241356588,0.41107279356851034,0.5188353907657163,103.0,balanced
C_130,Ophthalmology,1000,20,9,0.4399000327041447,0.38669112155691254,0.5092035320476211,103.0,balanced
C_130,Ophthalmology,1000,21,8,0.4285037670781532,0.38396740324210343,0.48796292228616617,103.0,balanced
C_130,Ophthalmology,1000,22,7,0.41983230932402843,0.3822760620304881,0.46052804990554846,103.0,balanced
C_130,Ophthalmology,1000,23,6,0.41858498440451614,0.3816720115977683,0.4599130167376884,103.0,balanced
C_130,Ophthalmology,1000,24,5,0.41736809735096436,0.39567499890172647,0.4273931379870843,103.0,balanced
C_130,Ophthalmology,1000,25,4,0.4241285199666125,0.41670693669551473,0.4303694592101217,103.0,balanced
C_130,Ophthalmology,1000,26,3,0.43427199109666276,0.42765672363045293,0.44107762597197214,103.0,balanced
C_130,Ophthalmology,1000,27,2,0.44866120458639025,0.44765628432104737,0.4496661248517331,103.0,balanced
C_130,Ophthalmology,1000,28,1,0.45904538066159994,0.45904538066159994,0.45904538066159994,103.0,balanced
C_120,"Ear, Nose and Throat",1000,1,28,0.9693468287312068,0.9049701334705192,0.9854811512189544,108.0,balanced
C_120,"Ear, Nose and Throat",1000,2,27,0.9282952772811491,0.811264492650071,0.9654177027065649,108.0,balanced
C_120,"Ear, Nose and Throat",1000,3,26,0.8842368773775787,0.7650690216925319,0.9270913715739232,108.0,balanced
C_120,"Ear, Nose and Throat",1000,4,25,0.842363028380348,0.6930559128106928,0.8946811855154476,108.0,balanced
C_120,"Ear, Nose and Throat",1000,5,24,0.8067599023185065,0.6479750778816199,0.8714548381872398,108.0,balanced
C_120,"Ear, Nose and Throat",1000,6,23,0.7717489678950856,0.5887278859069992,0.8414168262406279,108.0,balanced
