specialty_code,specialty,floor,lag_months,n_pairs,mean_spearman,min_spearman,max_spearman,mean_n_providers
C_301,Gastroenterology,1000,1,28,0.9750921754813022,0.9297588765993121,0.9844623019371741,109.42857142857143
C_301,Gastroenterology,1000,2,27,0.942216098136076,0.9065801632894147,0.9648896603025043,108.85185185185185
C_301,Gastroenterology,1000,3,26,0.9056553630712276,0.8622926512834771,0.9430925370794884,108.26923076923077
C_301,Gastroenterology,1000,4,25,0.8697763814294995,0.8204314347851643,0.9240523212057122,107.84
C_301,Gastroenterology,1000,5,24,0.8368359362940921,0.7927642404706625,0.8864095523591204,107.45833333333333
C_301,Gastroenterology,1000,6,23,0.8050441264031463,0.7631027253668764,0.8612274517934895,107.04347826086956
C_301,Gastroenterology,1000,7,22,0.7770803957395548,0.7306471521777463,0.8396564600448096,106.81818181818181
C_301,Gastroenterology,1000,8,21,0.7520262835707625,0.7046133112170848,0.812045236317081,106.38095238095238
C_301,Gastroenterology,1000,9,20,0.7306880782635384,0.6818592816072522,0.7809132614957858,105.95
C_301,Gastroenterology,1000,10,19,0.7148424865860272,0.6704536866765751,0.7636495279468785,105.47368421052632
C_301,Gastroenterology,1000,11,18,0.7001762545135275,0.6490557985703617,0.7744273986559298,105.0
C_301,Gastroenterology,1000,12,17,0.6861038605829324,0.601482983036381,0.7753090773722056,104.6470588235294
C_301,Gastroenterology,1000,13,16,0.6728335676730441,0.6103435399551905,0.7702443229687103,104.25
C_301,Gastroenterology,1000,14,15,0.6597229989959826,0.5727716030400212,0.7579008209408492,103.93333333333334
C_301,Gastroenterology,1000,15,14,0.6483118418263121,0.5458549852700861,0.7340552651232264,103.5
C_301,Gastroenterology,1000,16,13,0.6356546745822539,0.5075713453698311,0.7167395711085032,103.07692307692308
C_301,Gastroenterology,1000,17,12,0.6277658407120268,0.49332556785090265,0.6974821295209646,102.75
C_301,Gastroenterology,1000,18,11,0.6231913837135292,0.5043504350435043,0.6923193188402146,102.45454545454545
C_301,Gastroenterology,1000,19,10,0.6219973986785541,0.511095109510951,0.6869889341875363,102.5
C_301,Gastroenterology,1000,20,9,0.6259271552932889,0.5267285095856524,0.6975872344516006,102.33333333333333
C_301,Gastroenterology,1000,21,8,0.6242241846554866,0.5142733457019172,0.6871151421252919,102.25
C_301,Gastroenterology,1000,22,7,0.6177206404303636,0.5409470254831079,0.6839717963361596,101.71428571428571
C_301,Gastroenterology,1000,23,6,0.6165239993225697,0.5618458476344493,0.6685630189342354,101.66666666666667
